exit_time,sym,direction,entry_price,exit_price,dollar_pos,pnl
2025-08-21 15:30:00-04:00,NQ,Long,563.7799072265625,563.2999877929688,290283.7387186541,-247.10495298185197
2025-08-22 09:30:00-04:00,ES,Long,637.8900146484375,644.1099853515625,358362.4540614766,3494.339014839167
2025-08-22 09:30:00-04:00,NQ,Long,563.2999877929688,571.6799926757812,319320.1748045475,4750.407743708548
2025-08-22 12:30:00-04:00,NQ,Long,571.6799926757812,573.2050170898438,228587.23068698213,609.7836412097208
2025-08-22 13:30:00-04:00,NQ,Long,573.2050170898438,572.6599731445312,250627.84146909797,-238.31471017648448
2025-08-22 14:30:00-04:00,NQ,Long,572.6599731445312,572.2000122070312,276711.5395297754,-222.25492457643975
2025-08-22 15:30:00-04:00,NQ,Long,572.2000122070312,571.97998046875,300310.8278486828,-115.48044751232693
2025-08-25 11:30:00-04:00,NQ,Long,571.97998046875,572.8662719726562,323329.07681576355,501.0032230722783
2025-08-28 10:30:00-04:00,NQ,Long,572.8662719726562,574.8599243164062,361024.71301125875,1256.4149793076353
2025-08-28 12:30:00-04:00,NQ,Long,574.8599243164062,576.969970703125,385447.9923506681,1414.802300742522
2025-08-28 13:30:00-04:00,NQ,Long,576.969970703125,577.3350219726562,413687.0538710518,261.74149760382346
2025-08-28 14:30:00-04:00,NQ,Long,577.3350219726562,577.3784790039062,458600.77649954375,34.519693968191035
2025-08-28 15:30:00-04:00,NQ,Long,577.3784790039062,577.0700073242188,501624.82192569756,-267.99934015433945
2025-08-29 09:30:00-04:00,NQ,Long,577.0700073242188,570.947998046875,530244.8049650874,-5625.2509644566935
2025-09-02 09:30:00-04:00,NQ,Long,570.947998046875,565.239990234375,350694.85095977894,-3506.0442560963243
2025-09-02 13:30:00-04:00,NQ,Long,565.239990234375,562.8900146484375,250309.15314942587,-1040.6560204523705
2025-09-02 15:30:00-04:00,NQ,Long,562.8900146484375,565.6400146484375,278292.29851297505,1359.5974364346557
2025-09-03 09:30:00-04:00,NQ,Long,565.6400146484375,569.510009765625,310302.2612390576,2123.025607715835
2025-09-03 11:30:00-04:00,NQ,Long,569.510009765625,569.5,280006.0146448748,-4.921414078988656
2025-09-03 14:30:00-04:00,NQ,Long,569.5,567.5900268554688,303073.4911421246,-1016.4393834956762
2025-09-04 09:30:00-04:00,NQ,Long,567.5900268554688,570.77001953125,343353.3246463414,1923.6790745418418
2025-09-04 11:30:00-04:00,NQ,Long,570.77001953125,571.6928100585938,323403.38532163075,522.8613456796362
2025-09-05 09:30:00-04:00,NQ,Long,571.6928100585938,575.1290283203125,360127.07870629965,2164.5807374474093
2025-09-05 10:30:00-04:00,NQ,Long,575.1290283203125,574.6199951171875,330206.5159914066,-292.25803645966954
2025-09-05 12:30:00-04:00,NQ,Long,574.6199951171875,574.6500244140625,305679.9130867193,15.974649223498153
2025-09-05 14:30:00-04:00,NQ,Long,574.6500244140625,575.844970703125,336165.7246796166,699.034139301576
2025-09-08 09:30:00-04:00,NQ,Long,575.844970703125,580.25,361032.64472762914,2761.783914187165
2025-09-08 10:30:00-04:00,NQ,Long,580.25,580.5650024414062,340909.5777822452,185.07083033206567
2025-09-17 10:30:00-04:00,ES,Long,655.9600219726562,658.9400024414062,362064.0438882109,1644.8316102844558
2025-09-17 11:30:00-04:00,ES,Long,658.9400024414062,658.9299926757812,569862.4406385594,-8.656614332333964
2025-09-17 11:30:00-04:00,NQ,Long,580.5650024414062,588.61572265625,362064.0438882109,5020.757890918647
2025-09-17 13:30:00-04:00,ES,Long,658.9299926757812,660.3499755859375,518052.43590970594,1116.3941750008553
2025-09-17 13:30:00-04:00,NQ,Long,588.61572265625,589.1599731445312,520562.81485516526,481.3268746669917
2025-09-17 14:30:00-04:00,ES,Long,660.3499755859375,660.1849975585938,568829.9226177133,-142.11318542761944
2025-09-17 14:30:00-04:00,NQ,Long,589.1599731445312,591.239990234375,473630.731837016,1672.1434948102262
2025-09-18 09:30:00-04:00,ES,Long,660.1849975585938,664.4000244140625,441859.25509105064,2821.1011056501575
2025-09-18 09:30:00-04:00,NQ,Long,591.239990234375,597.4500122070312,362838.89041981974,3811.0370057141804
2025-09-18 11:30:00-04:00,NQ,Long,597.4500122070312,597.0692749023438,329541.8370117766,-210.00731147722058
2025-09-18 12:30:00-04:00,NQ,Long,597.0692749023438,596.8699951171875,297352.07365454733,-99.24519623511951
2025-09-18 13:30:00-04:00,NQ,Long,596.8699951171875,596.2850952148438,327141.5779615536,-320.58082759667775
2025-09-19 11:30:00-04:00,ES,Long,664.4000244140625,662.489990234375,366476.0687612609,-1053.5547737055429
2025-09-19 12:30:00-04:00,ES,Long,662.489990234375,662.47998046875,520349.1993568693,-7.862116568547668
2025-09-23 09:30:00-04:00,ES,Long,662.47998046875,666.6199951171875,569837.7033457075,3561.068271699261
2025-09-23 09:30:00-04:00,NQ,Long,596.2850952148438,601.1900024414062,355680.32582150487,2925.746449924973
2025-09-24 11:30:00-04:00,ES,Long,666.6199951171875,660.9099731445312,526377.6686134308,-4508.75772661138
2025-09-24 11:30:00-04:00,NQ,Long,601.1900024414062,595.0499877929688,527840.5418383933,-5390.889146136116
2025-09-24 14:30:00-04:00,NQ,Long,595.0499877929688,595.6599731445312,366023.5028814137,375.2104523409168
2025-09-24 15:30:00-04:00,ES,Long,660.9099731445312,661.030029296875,578144.7792725965,105.02162248641942
2025-09-25 09:30:00-04:00,ES,Long,661.030029296875,658.47998046875,552384.2934512567,-2130.92727676584
2025-09-25 09:30:00-04:00,NQ,Long,595.6599731445312,593.239990234375,482880.1935437646,-1961.7934202627916
2025-09-25 12:30:00-04:00,ES,Long,658.47998046875,657.2949829101562,381890.8187409683,-687.2489692629193
2025-09-25 13:30:00-04:00,ES,Long,657.2949829101562,656.989990234375,449211.87394780916,-208.43964276352753
2025-09-25 15:30:00-04:00,ES,Long,656.989990234375,657.9500122070312,421713.80502919614,616.2263124527575
2025-09-26 09:30:00-04:00,ES,Long,657.9500122070312,658.781005859375,467506.57651293266,590.4627863871222
2025-09-26 09:30:00-04:00,NQ,Long,593.239990234375,592.2100219726562,344366.7518798174,-597.8808419291815
2025-09-26 12:30:00-04:00,ES,Long,658.781005859375,661.625,400874.4566724098,1730.5972633733297
2025-09-26 13:30:00-04:00,ES,Long,661.625,661.7249755859375,427791.1274854659,64.64185698730128
2025-09-26 13:30:00-04:00,NQ,Long,592.2100219726562,595.760009765625,314036.3307810158,1882.482733250294
2025-09-26 14:30:00-04:00,ES,Long,661.7249755859375,661.5999755859375,453467.8974108972,-85.66019006033531
2025-09-26 15:30:00-04:00,ES,Long,661.5999755859375,661.72998046875,493114.86926452705,96.89743524409936
2025-09-26 15:30:00-04:00,NQ,Long,595.760009765625,596.0499877929688,352341.90095507633,171.49759586866986
2025-09-29 09:30:00-04:00,ES,Long,661.72998046875,664.760009765625,534489.8898971826,2447.403129785258
2025-09-29 09:30:00-04:00,NQ,Long,596.0499877929688,601.60498046875,420984.53396661446,3923.4393938348685
2025-09-29 11:30:00-04:00,NQ,Long,601.60498046875,599.0499877929688,337875.0085718857,-1434.941864274571
2025-09-29 12:30:00-04:00,ES,Long,664.760009765625,662.5599975585938,366866.47467790963,-1214.1385022942127
2025-09-29 15:30:00-04:00,ES,Long,662.5599975585938,663.5999755859375,529548.1494107299,831.1978414588806
2025-09-30 11:30:00-04:00,ES,Long,663.5999755859375,663.405029296875,571808.1023114491,-167.98051793636859
2025-09-30 13:30:00-04:00,ES,Long,663.405029296875,663.8800048828125,536023.3484138489,383.77460638019295
2025-09-30 14:30:00-04:00,NQ,Long,599.0499877929688,599.4201049804688,366366.46002332243,226.3559411423042
2025-10-01 09:30:00-04:00,ES,Long,663.8800048828125,665.530029296875,514438.6761437016,1278.5990976259864
2025-10-01 09:30:00-04:00,NQ,Long,599.4201049804688,600.1199951171875,420992.5088887114,491.5559257280677
2025-10-01 10:30:00-04:00,ES,Long,665.530029296875,666.3099975585938,474333.92194430553,555.8958849144666
2025-10-01 10:30:00-04:00,NQ,Long,600.1199951171875,600.3099975585938,376411.677103315,119.17472872985196
2025-10-01 11:30:00-04:00,ES,Long,666.3099975585938,666.9199829101562,502801.96707382,460.2990136357214
2025-10-01 12:30:00-04:00,NQ,Long,600.3099975585938,602.5250244140625,404331.20586586464,1491.9033218492048
2025-10-01 13:30:00-04:00,ES,Long,666.9199829101562,668.77001953125,542555.5474896902,1505.0495674961885
2025-10-01 14:30:00-04:00,NQ,Long,602.5250244140625,603.5316162109375,443126.678904521,740.2973517913566
2025-10-01 15:30:00-04:00,ES,Long,668.77001953125,668.5,567321.4978697977,-229.05913908973093
2025-10-02 09:30:00-04:00,ES,Long,668.5,668.7113037109375,544971.3935816485,172.25800720805265
2025-10-02 09:30:00-04:00,NQ,Long,603.5316162109375,604.9550170898438,491912.34917932533,1160.1520970228182
2025-10-02 14:30:00-04:00,ES,Long,668.7113037109375,669.4749755859375,435361.3717408871,497.18500826128223
2025-10-02 14:30:00-04:00,NQ,Long,604.9550170898438,606.0598754882812,345292.54913056036,630.6243638742069
